INSTITUTION,FULL_FARE,STUDENT,TEACHER,SIXTY_YEARS_OLD,TICKET,CHILD,PERSONNEL,FREE;INSTITUTION;FULL_FARE;STUDENT;TEACHER;SIXTY_YEARS_OLD;TICKET;CHILD;PERSONNEL;FREE
Izdeniz,24647,11741,456,800,1274,3,488,6477;Izdeniz;24647;11741;456;800;1274;3;488;6477
İZTAŞIT KİRAZ,908,198,15,8,3,0,9,268;İZTAŞIT KİRAZ;908;198;15;8;3;0;9;268
Izulas,72518,44530,650,3072,57,66,4383,39655;Izulas;72518;44530;650;3072;57;66;4383;39655
Metro,103379,67288,1701,3920,624,21,3840,33665;Metro;103379;67288;1701;3920;624;21;3840;33665
NOSTALJİK TRAMVAY,206,109,3,2,3,0,1,5;NOSTALJİK TRAMVAY;206;109;3;2;3;0;1;5
Seferihisar Mot. Taş. Kooperat,4478,2255,66,181,4,0,248,2701;Seferihisar Mot. Taş. Kooperat;4478;2255;66;181;4;0;248;2701
Teleferik,249,93,7,2,0,0,0,0;Teleferik;249;93;7;2;0;0;0;0
Tramvay Karşıyaka,12733,9419,260,512,60,0,314,5282;Tramvay Karşıyaka;12733;9419;260;512;60;0;314;5282
Tramvay Konak,30022,21396,660,1136,105,5,1288,11586;Tramvay Konak;30022;21396;660;1136;105;5;1288;11586
BİSİM,18,14,0,0,0,0,0,0;BİSİM;18;14;0;0;0;0;0;0
Eshot,166949,106951,1780,7522,255,151,10126,106204;Eshot;166949;106951;1780;7522;255;151;10126;106204
İzban,71550,36840,1042,1880,427,10,2386,23319;İzban;71550;36840;1042;1880;427;10;2386;23319
Izdeniz,18529,7425,220,357,1196,6,319,3773;Izdeniz;18529;7425;220;357;1196;6;319;3773
İZTAŞIT KİRAZ,485,94,6,10,3,0,7,145;İZTAŞIT KİRAZ;485;94;6;10;3;0;7;145
Izulas,42074,27214,342,1754,38,49,2379,27476;Izulas;42074;27214;342;1754;38;49;2379;27476
Metro,62808,44297,1078,1881,528,12,2205,20422;Metro;62808;44297;1078;1881;528;12;2205;20422
NOSTALJİK TRAMVAY,176,101,1,5,10,0,1,8;NOSTALJİK TRAMVAY;176;101;1;5;10;0;1;8
Seferihisar Mot. Taş. Kooperat,2904,1551,30,146,0,0,146,2199;Seferihisar Mot. Taş. Kooperat;2904;1551;30;146;0;0;146;2199
Teleferik,354,81,9,0,0,0,0,0;Teleferik;354;81;9;0;0;0;0;0
Tramvay Karşıyaka,7510,4965,145,231,38,2,192,3068;Tramvay Karşıyaka;7510;4965;145;231;38;2;192;3068
Tramvay Konak,15878,11365,364,505,94,4,626,5942;Tramvay Konak;15878;11365;364;505;94;4;626;5942
Eshot,323680,212397,3011,14653,296,250,24876,184043;Eshot;323680;212397;3011;14653;296;250;24876;184043
İzban,119941,62968,1624,3822,498,12,5702,41774;İzban;119941;62968;1624;3822;498;12;5702;41774
Izdeniz,18514,7128,274,692,552,2,1147,5533;Izdeniz;18514;7128;274;692;552;2;1147;5533
İZTAŞIT KİRAZ,1171,208,13,11,1,0,23,310;İZTAŞIT KİRAZ;1171;208;13;11;1;0;23;310
Izulas,78387,47955,665,3569,35,71,5406,47251;Izulas;78387;47955;665;3569;35;71;5406;47251
Metro,121233,88949,1626,4835,590,26,7900,46450;Metro;121233;88949;1626;4835;590;26;7900;46450
NOSTALJİK TRAMVAY,23,10,0,0,0,0,0,0;NOSTALJİK TRAMVAY;23;10;0;0;0;0;0;0
Seferihisar Mot. Taş. Kooperat,4610,2275,67,161,3,0,313,3062;Seferihisar Mot. Taş. Kooperat;4610;2275;67;161;3;0;313;3062
Teleferik,0,0,0,0,0,0,0,0;Teleferik;0;0;0;0;0;0;0;0
Tramvay Karşıyaka,11127,6735,203,533,64,5,402,5449;Tramvay Karşıyaka;11127;6735;203;533;64;5;402;5449
Tramvay Konak,30149,16304,522,1433,109,15,1782,13155;Tramvay Konak;30149;16304;522;1433;109;15;1782;13155
BİSİM,11,1,1,0,0,0,0,0;BİSİM;11;1;1;0;0;0;0;0
Eshot,309493,208587,3216,14526,253,268,23800,187760;Eshot;309493;208587;3216;14526;253;268;23800;187760
İzban,125784,67346,2117,4313,508,19,6435,46990;İzban;125784;67346;2117;4313;508;19;6435;46990
Izdeniz,24661,10002,508,884,935,2,1262,7523;Izdeniz;24661;10002;508;884;935;2;1262;7523
İZTAŞIT KİRAZ,1236,228,6,6,6,0,23,347;İZTAŞIT KİRAZ;1236;228;6;6;6;0;23;347
Izulas,72267,45077,678,3362,36,65,4887,46480;Izulas;72267;45077;678;3362;36;65;4887;46480
Metro,131677,92864,2293,5711,798,37,8443,52027;Metro;131677;92864;2293;5711;798;37;8443;52027
NOSTALJİK TRAMVAY,97,48,2,0,1,0,0,0;NOSTALJİK TRAMVAY;97;48;2;0;1;0;0;0
Seferihisar Mot. Taş. Kooperat,4746,2452,82,205,0,0,335,3756;Seferihisar Mot. Taş. Kooperat;4746;2452;82;205;0;0;335;3756
Teleferik,74,35,0,1,0,0,0,0;Teleferik;74;35;0;1;0;0;0;0
Tramvay Karşıyaka,8748,5685,168,410,30,5,268,4812;Tramvay Karşıyaka;8748;5685;168;410;30;5;268;4812
Tramvay Konak,33709,18762,759,1617,161,12,1983,15615;Tramvay Konak;33709;18762;759;1617;161;12;1983;15615
BİSİM,11,16,0,0,0,0,0,0;BİSİM;11;16;0;0;0;0;0;0
Eshot,323176,219030,3760,15648,249,246,24005,201871;Eshot;323176;219030;3760;15648;249;246;24005;201871
İzban,126924,67465,2156,4064,558,8,5979,45534;İzban;126924;67465;2156;4064;558;8;5979;45534
Izdeniz,29202,13568,803,1115,1290,1,1287,8810;Izdeniz;29202;13568;803;1115;1290;1;1287;8810
İZTAŞIT KİRAZ,1287,216,16,10,9,0,17,408;İZTAŞIT KİRAZ;1287;216;16;10;9;0;17;408
Izulas,74791,46625,757,3656,36,65,4897,49156;Izulas;74791;46625;757;3656;36;65;4897;49156
Metro,131073,92625,2082,5564,729,31,8158,50944;Metro;131073;92625;2082;5564;729;31;8158;50944
NOSTALJİK TRAMVAY,126,39,2,4,2,0,0,0;NOSTALJİK TRAMVAY;126;39;2;4;2;0;0;0
Seferihisar Mot. Taş. Kooperat,4604,2432,92,216,4,0,334,3539;Seferihisar Mot. Taş. Kooperat;4604;2432;92;216;4;0;334;3539
Teleferik,44,15,0,1,0,0,0,0;Teleferik;44;15;0;1;0;0;0;0
Tramvay Karşıyaka,17621,11610,496,942,97,3,409,10078;Tramvay Karşıyaka;17621;11610;496;942;97;3;409;10078
Tramvay Konak,33793,19027,756,1601,111,7,1986,15916;Tramvay Konak;33793;19027;756;1601;111;7;1986;15916
BİSİM,18,9,0,0,0,0,0,0;BİSİM;18;9;0;0;0;0;0;0
Eshot,322961,217615,3560,15434,264,255,24227,200271;Eshot;322961;217615;3560;15434;264;255;24227;200271
İzban,185146,64581,1932,4010,518,14,5565,46850;İzban;185146;64581;1932;4010;518;14;5565;46850
Izdeniz,26766,11053,675,1042,1339,3,1244,8040;Izdeniz;26766;11053;675;1042;1339;3;1244;8040
İZTAŞIT KİRAZ,1294,198,20,14,1,0,16,350;İZTAŞIT KİRAZ;1294;198;20;14;1;0;16;350
Izulas,74191,46229,735,3499,24,61,4989,48228;Izulas;74191;46229;735;3499;24;61;4989;48228
Metro,134333,97186,2247,5717,561,27,8655,54423;Metro;134333;97186;2247;5717;561;27;8655;54423
NOSTALJİK TRAMVAY,121,42,1,0,4,0,0,0;NOSTALJİK TRAMVAY;121;42;1;0;4;0;0;0
Seferihisar Mot. Taş. Kooperat,4649,2406,78,182,5,0,359,3427;Seferihisar Mot. Taş. Kooperat;4649;2406;78;182;5;0;359;3427
Teleferik,20,30,6,1,0,0,0,0;Teleferik;20;30;6;1;0;0;0;0
Tramvay Karşıyaka,11849,7556,303,654,90,2,342,6459;Tramvay Karşıyaka;11849;7556;303;654;90;2;342;6459
Tramvay Konak,32041,18261,737,1507,101,7,1825,14942;Tramvay Konak;32041;18261;737;1507;101;7;1825;14942
BİSİM,12,9,0,0,0,0,0,0;BİSİM;12;9;0;0;0;0;0;0
Eshot,322787,214816,3727,15313,347,287,24027,197659;Eshot;322787;214816;3727;15313;347;287;24027;197659
İzban,262779,65440,2034,3852,551,14,5608,44129;İzban;262779;65440;2034;3852;551;14;5608;44129
Izdeniz,27436,12343,621,1019,1348,3,1226,8011;Izdeniz;27436;12343;621;1019;1348;3;1226;8011
İZTAŞIT KİRAZ,1806,212,38,15,0,0,22,360;İZTAŞIT KİRAZ;1806;212;38;15;0;0;22;360
Izulas,74970,46395,724,3640,44,77,5038,48536;Izulas;74970;46395;724;3640;44;77;5038;48536
Metro,127754,91781,2201,5353,687,26,8341,50095;Metro;127754;91781;2201;5353;687;26;8341;50095
NOSTALJİK TRAMVAY,116,72,0,0,0,0,0,0;NOSTALJİK TRAMVAY;116;72;0;0;0;0;0;0
Seferihisar Mot. Taş. Kooperat,4862,2322,78,214,7,1,322,3792;Seferihisar Mot. Taş. Kooperat;4862;2322;78;214;7;1;322;3792
Teleferik,77,32,4,2,0,0,0,0;Teleferik;77;32;4;2;0;0;0;0
Tramvay Karşıyaka,12358,8617,358,601,70,0,364,6680;Tramvay Karşıyaka;12358;8617;358;601;70;0;364;6680
Tramvay Konak,33463,20760,744,1619,133,14,1897,14950;Tramvay Konak;33463;20760;744;1619;133;14;1897;14950
BİSİM,4,10,0,0,0,0,0,0;BİSİM;4;10;0;0;0;0;0;0
Eshot,265163,160880,2736,11433,284,154,16813,144458;Eshot;265163;160880;2736;11433;284;154;16813;144458
İzban,108517,56369,1535,3057,536,16,3720,36055;İzban;108517;56369;1535;3057;536;16;3720;36055
Izdeniz,26468,12016,511,828,1657,2,490,6595;Izdeniz;26468;12016;511;828;1657;2;490;6595
İZTAŞIT KİRAZ,968,137,9,8,0,0,17,297;İZTAŞIT KİRAZ;968;137;9;8;0;0;17;297
Izulas,72712,41758,549,3014,55,47,4171,40150;Izulas;72712;41758;549;3014;55;47;4171;40150
Metro,104812,65889,1388,3959,629,22,3787,35017;Metro;104812;65889;1388;3959;629;22;3787;35017
NOSTALJİK TRAMVAY,186,101,6,5,2,0,1,5;NOSTALJİK TRAMVAY;186;101;6;5;2;0;1;5
Seferihisar Mot. Taş. Kooperat,4527,2127,67,194,2,0,263,2698;Seferihisar Mot. Taş. Kooperat;4527;2127;67;194;2;0;263;2698
Teleferik,87,34,4,0,0,0,0,0;Teleferik;87;34;4;0;0;0;0;0
Tramvay Karşıyaka,12949,9362,268,447,100,0,335,5454;Tramvay Karşıyaka;12949;9362;268;447;100;0;335;5454
Tramvay Konak,29906,20278,561,1137,150,8,1241,11620;Tramvay Konak;29906;20278;561;1137;150;8;1241;11620
BİSİM,0,2,0,0,0,0,0,0;BİSİM;0;2;0;0;0;0;0;0
Eshot,149450,96126,1468,6084,275,116,9547,84994;Eshot;149450;96126;1468;6084;275;116;9547;84994
İzban,74469,38355,1034,1898,588,8,2825,23451;İzban;74469;38355;1034;1898;588;8;2825;23451
Izdeniz,4630,1790,44,97,311,1,113,1001;Izdeniz;4630;1790;44;97;311;1;113;1001
İZTAŞIT KİRAZ,496,67,5,1,1,0,14,118;İZTAŞIT KİRAZ;496;67;5;1;1;0;14;118
Izulas,39652,24940,271,1560,28,43,2468,23367;Izulas;39652;24940;271;1560;28;43;2468;23367
Metro,67390,48079,835,1998,464,12,2567,20657;Metro;67390;48079;835;1998;464;12;2567;20657
NOSTALJİK TRAMVAY,124,82,0,2,0,0,0,6;NOSTALJİK TRAMVAY;124;82;0;2;0;0;0;6
Seferihisar Mot. Taş. Kooperat,3024,1383,39,126,2,0,183,1864;Seferihisar Mot. Taş. Kooperat;3024;1383;39;126;2;0;183;1864
Teleferik,9,0,0,0,0,0,0,0;Teleferik;9;0;0;0;0;0;0;0
Tramvay Karşıyaka,5897,3687,70,166,45,0,162,2050;Tramvay Karşıyaka;5897;3687;70;166;45;0;162;2050
Tramvay Konak,6556,4708,73,191,41,2,270,2149;Tramvay Konak;6556;4708;73;191;41;2;270;2149
Eshot,320094,299600,6730,15545,289,255,25662,201883;Eshot;320094;299600;6730;15545;289;255;25662;201883
İzban,109887,67707,2530,3809,384,13,5720,42264;İzban;109887;67707;2530;3809;384;13;5720;42264
Izdeniz,19030,6690,370,779,594,3,1315,6099;Izdeniz;19030;6690;370;779;594;3;1315;6099
İZTAŞIT KİRAZ,1279,369,67,11,1,0,22,386;İZTAŞIT KİRAZ;1279;369;67;11;1;0;22;386
Izulas,73219,65305,1384,3693,33,73,5168,49785;Izulas;73219;65305;1384;3693;33;73;5168;49785
Metro,123575,105353,2538,5484,513,36,8756,50155;Metro;123575;105353;2538;5484;513;36;8756;50155
NOSTALJİK TRAMVAY,57,3,2,0,0,0,0,0;NOSTALJİK TRAMVAY;57;3;2;0;0;0;0;0
Seferihisar Mot. Taş. Kooperat,4665,2766,129,190,6,2,326,3429;Seferihisar Mot. Taş. Kooperat;4665;2766;129;190;6;2;326;3429
Teleferik,0,0,0,0,0,0,0,0;Teleferik;0;0;0;0;0;0;0;0
Tramvay Karşıyaka,9357,5788,192,495,43,0,342,5701;Tramvay Karşıyaka;9357;5788;192;495;43;0;342;5701
Tramvay Konak,29286,19527,698,1508,78,6,1724,14227;Tramvay Konak;29286;19527;698;1508;78;6;1724;14227
BİSİM,2,6,0,1,0,0,0,0;BİSİM;2;6;0;1;0;0;0;0
Eshot,331564,311191,6951,16672,313,260,25054,211060;Eshot;331564;311191;6951;16672;313;260;25054;211060
İzban,87186,52262,2117,2787,534,14,5891,46201;İzban;87186;52262;2117;2787;534;14;5891;46201
Izdeniz,23419,10591,519,946,779,16,1271,7778;Izdeniz;23419;10591;519;946;779;16;1271;7778
İZTAŞIT KİRAZ,1276,382,59,12,0,0,23,429;İZTAŞIT KİRAZ;1276;382;59;12;0;0;23;429
Izulas,75914,67927,1416,3833,38,84,5040,51921;Izulas;75914;67927;1416;3833;38;84;5040;51921
Metro,126959,112625,2764,5567,509,25,8598,51864;Metro;126959;112625;2764;5567;509;25;8598;51864
NOSTALJİK TRAMVAY,63,44,0,4,0,0,0,0;NOSTALJİK TRAMVAY;63;44;0;4;0;0;0;0
Seferihisar Mot. Taş. Kooperat,4841,2860,137,245,1,0,338,3949;Seferihisar Mot. Taş. Kooperat;4841;2860;137;245;1;0;338;3949
Teleferik,0,0,0,0,0,0,0,0;Teleferik;0;0;0;0;0;0;0;0
Tramvay Karşıyaka,10427,7361,238,593,25,0,322,6424;Tramvay Karşıyaka;10427;7361;238;593;25;0;322;6424
Tramvay Konak,32159,24368,807,1559,79,5,2092,15184;Tramvay Konak;32159;24368;807;1559;79;5;2092;15184
BİSİM,17,16,0,0,0,0,0,0;BİSİM;17;16;0;0;0;0;0;0
Eshot,310950,184738,5024,13422,167,151,13956,147186;Eshot;310950;184738;5024;13422;167;151;13956;147186
İzban,96064,47890,1909,2458,156,9,3450,37191;İzban;96064;47890;1909;2458;156;9;3450;37191
Izdeniz,34012,17501,721,903,436,7,528,6746;Izdeniz;34012;17501;721;903;436;7;528;6746
İZTAŞIT KİRAZ,1042,146,23,8,1,0,18,329;İZTAŞIT KİRAZ;1042;146;23;8;1;0;18;329
Izulas,89394,53874,1184,3627,23,47,3645,41666;Izulas;89394;53874;1184;3627;23;47;3645;41666
Metro,117602,74385,2311,4331,335,16,3493,34722;Metro;117602;74385;2311;4331;335;16;3493;34722
NOSTALJİK TRAMVAY,322,201,8,3,4,0,0,7;NOSTALJİK TRAMVAY;322;201;8;3;4;0;0;7
Seferihisar Mot. Taş. Kooperat,5192,2576,129,229,2,0,208,2934;Seferihisar Mot. Taş. Kooperat;5192;2576;129;229;2;0;208;2934
Teleferik,53,32,2,0,0,0,0,0;Teleferik;53;32;2;0;0;0;0;0
Tramvay Karşıyaka,13383,9780,277,489,32,0,253,4717;Tramvay Karşıyaka;13383;9780;277;489;32;0;253;4717
Tramvay Konak,34801,24358,888,1251,52,5,1264,11332;Tramvay Konak;34801;24358;888;1251;52;5;1264;11332
BİSİM,7,9,0,1,0,0,0,0;BİSİM;7;9;0;1;0;0;0;0
Eshot,214817,141333,2241,9040,242,150,11318,125023;Eshot;214817;141333;2241;9040;242;150;11318;125023
İzban,66220,33623,1037,1551,475,10,2701,28104;İzban;66220;33623;1037;1551;475;10;2701;28104
Izdeniz,20482,9705,276,438,1099,0,326,4463;Izdeniz;20482;9705;276;438;1099;0;326;4463
İZTAŞIT KİRAZ,510,132,7,8,0,0,14,176;İZTAŞIT KİRAZ;510;132;7;8;0;0;14;176
Izulas,57323,36237,466,2253,40,42,2995,33107;Izulas;57323;36237;466;2253;40;42;2995;33107
Metro,74451,54964,1144,2263,471,7,2513,24257;Metro;74451;54964;1144;2263;471;7;2513;24257
NOSTALJİK TRAMVAY,176,126,1,8,1,0,3,17;NOSTALJİK TRAMVAY;176;126;1;8;1;0;3;17
Seferihisar Mot. Taş. Kooperat,3988,2268,53,189,5,0,195,2806;Seferihisar Mot. Taş. Kooperat;3988;2268;53;189;5;0;195;2806
Teleferik,91,30,0,0,0,0,0,0;Teleferik;91;30;0;0;0;0;0;0
Tramvay Karşıyaka,8507,6265,178,285,36,2,210,3538;Tramvay Karşıyaka;8507;6265;178;285;36;2;210;3538
Tramvay Konak,21032,17135,351,626,78,1,786,7427;Tramvay Konak;21032;17135;351;626;78;1;786;7427
Eshot,337669,305424,7098,17728,254,264,25367,220496;Eshot;337669;305424;7098;17728;254;264;25367;220496
İzban,87506,49746,2096,2925,438,6,5898,47728;İzban;87506;49746;2096;2925;438;6;5898;47728
Izdeniz,22199,8782,379,1023,666,9,1367,7592;Izdeniz;22199;8782;379;1023;666;9;1367;7592
İZTAŞIT KİRAZ,1317,368,63,19,1,0,29,419;İZTAŞIT KİRAZ;1317;368;63;19;1;0;29;419
Izulas,76973,67217,1394,3966,33,97,5345,53924;Izulas;76973;67217;1394;3966;33;97;5345;53924
Metro,128581,109030,2624,5836,479,25,8856,54099;Metro;128581;109030;2624;5836;479;25;8856;54099
NOSTALJİK TRAMVAY,55,28,0,1,0,0,0,0;NOSTALJİK TRAMVAY;55;28;0;1;0;0;0;0
Seferihisar Mot. Taş. Kooperat,4833,2910,144,235,8,0,327,4033;Seferihisar Mot. Taş. Kooperat;4833;2910;144;235;8;0;327;4033
Teleferik,0,0,0,0,0,0,0,0;Teleferik;0;0;0;0;0;0;0;0
Tramvay Karşıyaka,10234,6841,209,695,34,3,328,6521;Tramvay Karşıyaka;10234;6841;209;695;34;3;328;6521
Tramvay Konak,31319,21809,759,1664,93,4,1904,15609;Tramvay Konak;31319;21809;759;1664;93;4;1904;15609
BİSİM,1,0,0,0,0,0,0,0;BİSİM;1;0;0;0;0;0;0;0
Eshot,335800,309265,7280,16979,281,191,25509,216060;Eshot;335800;309265;7280;16979;281;191;25509;216060
İzban,86142,49870,2131,2735,404,9,5984,46941;İzban;86142;49870;2131;2735;404;9;5984;46941
Izdeniz,22479,9147,440,1036,553,2,1376,7717;Izdeniz;22479;9147;440;1036;553;2;1376;7717
İZTAŞIT KİRAZ,1226,369,67,12,0,0,27,391;İZTAŞIT KİRAZ;1226;369;67;12;0;0;27;391
Izulas,77473,68197,1447,3756,27,54,5248,52864;Izulas;77473;68197;1447;3756;27;54;5248;52864
Metro,130250,110113,2941,5905,551,25,8852,53839;Metro;130250;110113;2941;5905;551;25;8852;53839
NOSTALJİK TRAMVAY,34,16,0,2,0,0,0,0;NOSTALJİK TRAMVAY;34;16;0;2;0;0;0;0
Seferihisar Mot. Taş. Kooperat,4814,2834,159,227,4,0,362,3892;Seferihisar Mot. Taş. Kooperat;4814;2834;159;227;4;0;362;3892
Teleferik,24,17,0,0,0,0,0,0;Teleferik;24;17;0;0;0;0;0;0
Tramvay Karşıyaka,10663,7105,251,705,27,2,359,6352;Tramvay Karşıyaka;10663;7105;251;705;27;2;359;6352
Tramvay Konak,31734,22703,870,1632,77,10,1979,15881;Tramvay Konak;31734;22703;870;1632;77;10;1979;15881
BİSİM,4,5,0,0,0,0,0,0;BİSİM;4;5;0;0;0;0;0;0
Eshot,336639,307458,7456,17805,301,192,25358,223178;Eshot;336639;307458;7456;17805;301;192;25358;223178
İzban,83828,49280,2126,2721,442,8,5781,45309;İzban;83828;49280;2126;2721;442;8;5781;45309
Izdeniz,24099,11678,420,1000,584,1,1357,7826;Izdeniz;24099;11678;420;1000;584;1;1357;7826
İZTAŞIT KİRAZ,1366,404,62,11,1,0,25,469;İZTAŞIT KİRAZ;1366;404;62;11;1;0;25;469
Izulas,77185,68442,1468,4088,47,51,5160,54981;Izulas;77185;68442;1468;4088;47;51;5160;54981
Metro,125032,109118,2757,5556,489,23,8773,51354;Metro;125032;109118;2757;5556;489;23;8773;51354
NOSTALJİK TRAMVAY,35,13,1,0,0,0,0,0;NOSTALJİK TRAMVAY;35;13;1;0;0;0;0;0
Seferihisar Mot. Taş. Kooperat,4843,2927,168,216,7,0,340,3804;Seferihisar Mot. Taş. Kooperat;4843;2927;168;216;7;0;340;3804
Teleferik,27,9,0,1,0,0,0,0;Teleferik;27;9;0;1;0;0;0;0
Tramvay Karşıyaka,15741,10686,329,968,44,1,364,10265;Tramvay Karşıyaka;15741;10686;329;968;44;1;364;10265
Tramvay Konak,30883,22270,931,1529,74,8,1992,14907;Tramvay Konak;30883;22270;931;1529;74;8;1992;14907
BİSİM,9,6,0,0,0,0,0,0;BİSİM;9;6;0;0;0;0;0;0
Eshot,342875,308603,7336,17697,276,223,25425,223999;Eshot;342875;308603;7336;17697;276;223;25425;223999
İzban,87835,50698,2073,2939,508,16,5804,48106;İzban;87835;50698;2073;2939;508;16;5804;48106
Izdeniz,22768,9650,417,991,627,4,1419,7539;Izdeniz;22768;9650;417;991;627;4;1419;7539
İZTAŞIT KİRAZ,1251,424,63,10,1,0,22,405;İZTAŞIT KİRAZ;1251;424;63;10;1;0;22;405
Izulas,76241,67622,1506,3890,43,63,5304,53138;Izulas;76241;67622;1506;3890;43;63;5304;53138
Metro,128062,107626,2870,5818,517,27,8630,53794;Metro;128062;107626;2870;5818;517;27;8630;53794
NOSTALJİK TRAMVAY,54,14,2,5,0,0,0,0;NOSTALJİK TRAMVAY;54;14;2;5;0;0;0;0
Seferihisar Mot. Taş. Kooperat,4753,2930,134,211,2,2,327,3773;Seferihisar Mot. Taş. Kooperat;4753;2930;134;211;2;2;327;3773
Teleferik,30,14,0,0,0,0,0,0;Teleferik;30;14;0;0;0;0;0;0
Tramvay Karşıyaka,11240,7466,270,689,24,0,337,6743;Tramvay Karşıyaka;11240;7466;270;689;24;0;337;6743
Tramvay Konak,31899,23396,896,1502,73,18,1935,15324;Tramvay Konak;31899;23396;896;1502;73;18;1935;15324
BİSİM,13,15,0,0,0,0,0,0;BİSİM;13;15;0;0;0;0;0;0
Eshot,340541,294781,6964,17528,313,182,24710,225100;Eshot;340541;294781;6964;17528;313;182;24710;225100
İzban,123066,72414,2805,4108,627,9,5768,44907;İzban;123066;72414;2805;4108;627;9;5768;44907
Izdeniz,22752,9523,404,868,531,6,1296,6809;Izdeniz;22752;9523;404;868;531;6;1296;6809
İZTAŞIT KİRAZ,1568,436,56,8,3,0,30,484;İZTAŞIT KİRAZ;1568;436;56;8;3;0;30;484
Izulas,78147,66142,1364,3916,28,67,5173,54973;Izulas;78147;66142;1364;3916;28;67;5173;54973
Metro,130080,102916,2704,5590,529,16,8549,50996;Metro;130080;102916;2704;5590;529;16;8549;50996
NOSTALJİK TRAMVAY,48,36,0,0,2,0,0,0;NOSTALJİK TRAMVAY;48;36;0;0;2;0;0;0
Seferihisar Mot. Taş. Kooperat,4993,2942,163,242,0,0,325,4179;Seferihisar Mot. Taş. Kooperat;4993;2942;163;242;0;0;325;4179
Teleferik,15,16,0,0,0,0,0,0;Teleferik;15;16;0;0;0;0;0;0
Tramvay Karşıyaka,11664,8179,255,645,35,0,334,6196;Tramvay Karşıyaka;11664;8179;255;645;35;0;334;6196
Tramvay Konak,31712,23944,895,1539,55,6,1990,14499;Tramvay Konak;31712;23944;895;1539;55;6;1990;14499
BİSİM,11,14,0,0,0,0,0,0;BİSİM;11;14;0;0;0;0;0;0
Eshot,271509,153996,2406,11793,386,185,16491,152213;Eshot;271509;153996;2406;11793;386;185;16491;152213
İzban,102925,51789,1403,2663,784,10,3567,33095;İzban;102925;51789;1403;2663;784;10;3567;33095
Izdeniz,20280,8774,311,529,840,1,353,4918;Izdeniz;20280;8774;311;529;840;1;353;4918
İZTAŞIT KİRAZ,1473,253,16,13,4,0,18,426;İZTAŞIT KİRAZ;1473;253;16;13;4;0;18;426
Izulas,76190,44331,521,3332,63,53,4219,44056;Izulas;76190;44331;521;3332;63;53;4219;44056
Metro,105798,59024,1241,3919,610,26,3696,33890;Metro;105798;59024;1241;3919;610;26;3696;33890
NOSTALJİK TRAMVAY,147,86,3,8,1,0,1,8;NOSTALJİK TRAMVAY;147;86;3;8;1;0;1;8
Seferihisar Mot. Taş. Kooperat,4794,2308,60,194,5,2,233,2819;Seferihisar Mot. Taş. Kooperat;4794;2308;60;194;5;2;233;2819
Teleferik,42,11,1,0,0,0,0,0;Teleferik;42;11;1;0;0;0;0;0
Tramvay Karşıyaka,11082,7865,212,373,40,0,262,4729;Tramvay Karşıyaka;11082;7865;212;373;40;0;262;4729
Tramvay Konak,26223,17082,452,993,113,3,1141,10086;Tramvay Konak;26223;17082;452;993;113;3;1141;10086
BİSİM,7,2,0,0,0,0,0,0;BİSİM;7;2;0;0;0;0;0;0
Eshot,244063,104914,2055,10921,229,17,12499,128019;Eshot;244063;104914;2055;10921;229;17;12499;128019
İzban,99287,41282,1376,2370,78,1,3173,26889;İzban;99287;41282;1376;2370;78;1;3173;26889
Izdeniz,25732,8094,558,749,200,0,582,4582;Izdeniz;25732;8094;558;749;200;0;582;4582
İZTAŞIT KİRAZ,1028,135,4,13,0,0,11,202;İZTAŞIT KİRAZ;1028;135;4;13;0;0;11;202
Izulas,68438,28857,385,2794,22,3,3016,35763;Izulas;68438;28857;385;2794;22;3;3016;35763
Metro,79173,36794,951,2398,234,0,2843,22313;Metro;79173;36794;951;2398;234;0;2843;22313
NOSTALJİK TRAMVAY,134,87,4,0,2,0,1,9;NOSTALJİK TRAMVAY;134;87;4;0;2;0;1;9
Seferihisar Mot. Taş. Kooperat,4578,1714,55,194,0,0,229,2791;Seferihisar Mot. Taş. Kooperat;4578;1714;55;194;0;0;229;2791
Teleferik,122,36,1,1,0,0,0,0;Teleferik;122;36;1;1;0;0;0;0
Tramvay Karşıyaka,9032,4805,108,264,12,0,201,2937;Tramvay Karşıyaka;9032;4805;108;264;12;0;201;2937
Tramvay Konak,21378,10209,563,898,48,0,1414,7251;Tramvay Konak;21378;10209;563;898;48;0;1414;7251
Eshot,77,54,0,1,53,0,5,370381;Eshot;77;54;0;1;53;0;5;370381
İzban,74,26,0,2,68,0,1,156813;İzban;74;26;0;2;68;0;1;156813
Izdeniz,69,9,0,2,34,0,1,29229;Izdeniz;69;9;0;2;34;0;1;29229
İZTAŞIT KİRAZ,0,0,0,0,2,0,0,927;İZTAŞIT KİRAZ;0;0;0;0;2;0;0;927
Izulas,38,13,0,0,13,0,1,118828;Izulas;38;13;0;0;13;0;1;118828
Metro,4074,3726,69,128,72,0,250,95573;Metro;4074;3726;69;128;72;0;250;95573
NOSTALJİK TRAMVAY,146,81,3,1,5,0,0,0;NOSTALJİK TRAMVAY;146;81;3;1;5;0;0;0
Seferihisar Mot. Taş. Kooperat,16,12,0,0,2,0,2,7956;Seferihisar Mot. Taş. Kooperat;16;12;0;0;2;0;2;7956
Teleferik,0,0,0,0,0,0,0,0;Teleferik;0;0;0;0;0;0;0;0
