INSTITUTION,FULL_FARE,STUDENT,TEACHER,SIXTY_YEARS_OLD,TICKET,CHILD,PERSONNEL,FREE;INSTITUTION;FULL_FARE;STUDENT;TEACHER;SIXTY_YEARS_OLD;TICKET;CHILD;PERSONNEL;FREE
Izulas,71401,58135,1204,2979,15,59,4448,37090;Izulas;71401;58135;1204;2979;15;59;4448;37090
Metro,115029,87750,2212,4340,295,31,6696,35794;Metro;115029;87750;2212;4340;295;31;6696;35794
NOSTALJİK TRAMVAY,11,16,2,0,0,0,0,0;NOSTALJİK TRAMVAY;11;16;2;0;0;0;0;0
Seferihisar Mot. Taş. Kooperat,4073,2257,104,177,0,0,284,2606;Seferihisar Mot. Taş. Kooperat;4073;2257;104;177;0;0;284;2606
Teleferik,385,182,4,3,0,0,0,0;Teleferik;385;182;4;3;0;0;0;0
Tramvay Karşıyaka,9354,5990,191,473,15,0,275,4200;Tramvay Karşıyaka;9354;5990;191;473;15;0;275;4200
Tramvay Konak,28325,20016,740,1203,52,11,1448,10403;Tramvay Konak;28325;20016;740;1203;52;11;1448;10403
BİSİM,10,13,0,0,0,0,0,0;BİSİM;10;13;0;0;0;0;0;0
Eshot,170202,113663,2513,6305,157,128,11252,83962;Eshot;170202;113663;2513;6305;157;128;11252;83962
İzban,74588,40443,1172,1599,217,11,2586,18779;İzban;74588;40443;1172;1599;217;11;2586;18779
Izdeniz,12028,5683,154,264,504,3,192,2310;Izdeniz;12028;5683;154;264;504;3;192;2310
Izulas,47331,31528,527,1531,31,42,2847,23417;Izulas;47331;31528;527;1531;31;42;2847;23417
Metro,69760,51012,1685,1797,431,20,2883,18632;Metro;69760;51012;1685;1797;431;20;2883;18632
NOSTALJİK TRAMVAY,76,36,1,0,0,0,1,6;NOSTALJİK TRAMVAY;76;36;1;0;0;0;1;6
Seferihisar Mot. Taş. Kooperat,2984,1432,43,90,5,0,178,1663;Seferihisar Mot. Taş. Kooperat;2984;1432;43;90;5;0;178;1663
Teleferik,68,31,0,0,0,0,0,0;Teleferik;68;31;0;0;0;0;0;0
Tramvay Karşıyaka,7645,4842,123,222,20,0,176,2465;Tramvay Karşıyaka;7645;4842;123;222;20;0;176;2465
Tramvay Konak,15738,11807,420,446,52,2,657,4356;Tramvay Konak;15738;11807;420;446;52;2;657;4356
BİSİM,1,3,0,0,0,0,0,0;BİSİM;1;3;0;0;0;0;0;0
Eshot,310948,259646,5735,13238,193,211,22140,157678;Eshot;310948;259646;5735;13238;193;211;22140;157678
İzban,111881,64590,2247,3397,209,10,5041,33242;İzban;111881;64590;2247;3397;209;10;5041;33242
Izdeniz,17777,6464,266,653,208,1,830,5055;Izdeniz;17777;6464;266;653;208;1;830;5055
Izulas,72632,57312,1250,3054,23,64,4528,39752;Izulas;72632;57312;1250;3054;23;64;4528;39752
Metro,117799,87645,2167,4441,292,29,7133,39025;Metro;117799;87645;2167;4441;292;29;7133;39025
NOSTALJİK TRAMVAY,16,5,0,0,0,0,0,0;NOSTALJİK TRAMVAY;16;5;0;0;0;0;0;0
Seferihisar Mot. Taş. Kooperat,3947,2176,114,143,2,0,301,2527;Seferihisar Mot. Taş. Kooperat;3947;2176;114;143;2;0;301;2527
Teleferik,0,0,0,0,0,0,0,0;Teleferik;0;0;0;0;0;0;0;0
Tramvay Karşıyaka,8931,5140,152,459,14,0,257,4469;Tramvay Karşıyaka;8931;5140;152;459;14;0;257;4469
Tramvay Konak,27984,18723,603,1215,51,14,1564,10776;Tramvay Konak;27984;18723;603;1215;51;14;1564;10776
BİSİM,1,1,0,0,0,0,0,0;BİSİM;1;1;0;0;0;0;0;0
Eshot,289688,249708,5698,11720,131,118,21360,133233;Eshot;289688;249708;5698;11720;131;118;21360;133233
İzban,104930,61637,2282,2951,201,2,4967,30028;İzban;104930;61637;2282;2951;201;2;4967;30028
Izdeniz,15876,5605,263,541,136,3,829,3986;Izdeniz;15876;5605;263;541;136;3;829;3986
Izulas,71317,58185,1259,2825,27,31,4782,35401;Izulas;71317;58185;1259;2825;27;31;4782;35401
Metro,109217,83467,2223,4063,229,20,6850,34535;Metro;109217;83467;2223;4063;229;20;6850;34535
NOSTALJİK TRAMVAY,8,0,0,0,0,0,0,0;NOSTALJİK TRAMVAY;8;0;0;0;0;0;0;0
Seferihisar Mot. Taş. Kooperat,3595,2062,114,119,1,0,257,2173;Seferihisar Mot. Taş. Kooperat;3595;2062;114;119;1;0;257;2173
Teleferik,9,3,0,0,0,0,0,0;Teleferik;9;3;0;0;0;0;0;0
Tramvay Karşıyaka,8050,4774,160,380,10,0,263,3432;Tramvay Karşıyaka;8050;4774;160;380;10;0;263;3432
